LAN JOINTER,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE 2GB DDR3,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE 4GB DDR3 RAM,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare 4 Way Extension Socket with Spike Buster 2m,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE ADAPTOR-CHARGER,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare Cctv Smps12v 5a,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare Data Cable Compatiable for Iphone,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE G41 MOTHERBOARD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE H61 MOTHERBOARD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE HUB USB 2.0 4 PORT,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE LED MONITOR -15.6 (VGA+HDMI),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE MOTHERBOARD 945G,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE POWER BANK,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare Power Supply,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE TONER CATRIDGE 925,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare Usb Mouse,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lapcare Usb Multimedia Keyboard,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE WIRELESS COMBO,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPCARE WIRELESS MOUSE,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPTOP BATTERY,General,,,NOS,,,,,0,CGST+SGST 28%(28.00%),0,Exclusive,0,0
LAPTOP DVD-RW,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Laptop Keyboard,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPTOP LENOVO IP330 81DE02YHIN,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPTOP RAM ADATA 8 GB DD4,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LAPTOP SCREEN,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
L/B AVER-TEK 4741,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
L/B DELL 1520 (KY266),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
L/B DELL 15R (4YRJH),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lenovo Ideapad 110 Keyboard with Touch and Body Pan,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LENOVO IP320 80XR01DLIN PQC 4GB 1TB 15.6'' DOS,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Lenovo IP S145 81mv00m3in PG5405/4gb/1tb,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LITEON DVD-RW,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Live Techcf02 Cpu Fan,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
LOGITECH CORDLESS MOUSE M170,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MAINTAINANCE PAD AND PRINT HEAD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MANZANA MZ1504H 15.4'' LED MONITOR VGA+HDMI,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MARK 2U NETWORKING RACK(M4),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MARK 6U NETWORKING RACK (M5),General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Microsoft Win10 F.P.P.,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MONITOR AOC 15.6'' LED,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MONITOR COMPAQ B191 18.5'' LED,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MOTHERBOARD ASUS H310M -CS R2.0,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MOTHERBOARD ASUS H81M-CS,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MOTHERBORD ZEBION H61,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
MOUSE PAD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
NET PROTECTOR TOTAL SECURITY GOLD SINGLE USER,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
NETWORKING CHARGES,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
online advertisements,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
PATCH CORD 1MTR CAT 6,General,,,MTR,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
Payment Towards Annual Maintainance Contract,General,,,PACK,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
P/H,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
POWER BUTTON,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
POWER CORD,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
POWERSAFE LAPTOP ADAPTOR 65W,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
POWER SAFE UPS 1 KVA,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
POWER SAFE UPS 600VA,General,,,NOS,,,,,0,CGST+SGST 18%(18.00%),0,Exclusive,0,0
